"Report Written:","Tuesday, February 04, 2020"
"Project Path:","C:\Giovanni\neuralmapper\PCB\NM-WM300D3I2C\Rev2\NM-WM300D3I2C.prj"
"Design Path:","C:\Giovanni\neuralmapper\PCB\NM-WM300D3I2C\Rev2\NM-WM300D3I2C.pcb"
"Design Title:",
"Created:","8/6/2014 3:55:19 PM"
"Last Saved:","2/4/2020 10:54:57 AM"
"Editing Time:","16288 min"
"Units:","mil (precision 0)"


"Ref Name","Qty","Component","Value","Side","Manufacturer","Manufacturer part number","Distributor","Distributor part number","Description","Price"
"U4","1","BSS138","","Top","ON Semiconductor","BSS138","Digikey","BSS138CT-ND","MOSFET N-CH 50V 220MA SOT-23","0.31"
"U5","1","BSS138","","Top","ON Semiconductor","BSS138","Digikey","BSS138CT-ND","MOSFET N-CH 50V 220MA SOT-23","0.31"
"JP2","1","BTE-040-01-F-D-A","","Bottom","Samtec","BTE-040-01-L-D-A","Digkey","SAM8745-ND","CONN HEADER 40POS .031"" SMT GLD","6.53"
"JP3","1","BTE-040-01-F-D-A","","Bottom","Samtec","BTE-040-01-L-D-A","Digkey","SAM8745-ND","CONN HEADER 40POS .031"" SMT GLD","6.53"
"C9","1","C0402_0.1u_16V",".1u","Top","Murata","GRM155R71C104KA88D","Digikey","490-3261-1-ND","CAP CER 0.1UF 16V 10% X7R 0402","0.10"
"C11","1","C0402_0.1u_16V",".1u","Top","Murata","GRM155R71C104KA88D","Digikey","490-3261-1-ND","CAP CER 0.1UF 16V 10% X7R 0402","0.10"
"C15","1","C0402_0.1u_16V",".1u","Top","Murata","GRM155R71C104KA88D","Digikey","490-3261-1-ND","CAP CER 0.1UF 16V 10% X7R 0402","0.10"
"C10","1","C0402_1n_50V","1n","Top","Murata","GRM155R71H102KA01D","Digikey","490-1303-1-ND","CAP CER 1000PF 50V 10% X7R 0402","0.10"
"C12","1","C0402_1n_50V","1n","Top","Murata","GRM155R71H102KA01D","Digikey","490-1303-1-ND","CAP CER 1000PF 50V 10% X7R 0402","0.10"
"C22","1","C0402_1n_50V","1n","Bottom","Murata","GRM155R71H102KA01D","Digikey","490-1303-1-ND","CAP CER 1000PF 50V 10% X7R 0402","0.10"
"C23","1","C0402_1n_50V","1n","Bottom","Murata","GRM155R71H102KA01D","Digikey","490-1303-1-ND","CAP CER 1000PF 50V 10% X7R 0402","0.10"
"C25","1","C0402_1n_50V","1n","Bottom","Murata","GRM155R71H102KA01D","Digikey","490-1303-1-ND","CAP CER 1000PF 50V 10% X7R 0402","0.10"
"C28","1","C0402_1n_50V","1n","Bottom","Murata","GRM155R71H102KA01D","Digikey","490-1303-1-ND","CAP CER 1000PF 50V 10% X7R 0402","0.10"
"C3","1","C0402_1u_16V","1u","Top","Murata","GRM155R60J105ME19D","Digikey","490-1319-1-ND","CAP CER 1UF 6.3V 20% X5R 0402","0.10"
"C6","1","C0402_1u_16V","1u","Top","Murata","GRM155R60J105ME19D","Digikey","490-1319-1-ND","CAP CER 1UF 6.3V 20% X5R 0402","0.10"
"C21","1","C0402_1u_16V","1u","Bottom","Murata","GRM155R60J105ME19D","Digikey","490-1319-1-ND","CAP CER 1UF 6.3V 20% X5R 0402","0.10"
"C24","1","C0402_1u_16V","1u","Bottom","Murata","GRM155R60J105ME19D","Digikey","490-1319-1-ND","CAP CER 1UF 6.3V 20% X5R 0402","0.10"
"C26","1","C0402_1u_16V","1u","Bottom","Murata","GRM155R60J105ME19D","Digikey","490-1319-1-ND","CAP CER 1UF 6.3V 20% X5R 0402","0.10"
"C27","1","C0402_1u_16V","1u","Bottom","Murata","GRM155R60J105ME19D","Digikey","490-1319-1-ND","CAP CER 1UF 6.3V 20% X5R 0402","0.10"
"C4","1","C0402_2.2u_4V","2.2u","Top","Murata","GRM155R60G225ME15D","Digikey","490-4518-1-ND","CAP CER 2.2UF 4V 20% X5R 0402","0.27"
"C7","1","C0402_2.2u_4V","2.2u","Top","Murata","GRM155R60G225ME15D","Digikey","490-4518-1-ND","CAP CER 2.2UF 4V 20% X5R 0402","0.27"
"C5","1","C0402_10n_25V","10n","Top","Murata","GRM155R71E103KA01D","Digikey","490-1312-1-ND","CAP CER 10000PF 25V 10% X7R 0402","0.10"
"C8","1","C0402_10n_25V","10n","Top","Murata","GRM155R71E103KA01D","Digikey","490-1312-1-ND","CAP CER 10000PF 25V 10% X7R 0402","0.10"
"C14","1","C0402_10n_25V","10n","Top","Murata","GRM155R71E103KA01D","Digikey","490-1312-1-ND","CAP CER 10000PF 25V 10% X7R 0402","0.10"
"C13","1","C0805_22u_6.3V","22u","Top","Murata","GRM21BR60J226ME39L","Digikey","490-1719-1-ND","CAP CER 22UF 6.3V 20% X5R 0805","0.29"
"U2","1","CAT6219_3V3","","Top","ON Semiconductor","CAT6219-330TDGT3","Digikey","CAT6219-330TDGT3CT-ND","IC REG LDO 3.3V 0.5A TSOT23-5","0.97"
