"Name","Component","Side","Centre X","Centre Y","Rotation"
"U4","BSS138","Top","693","3280","0.00"
"U5","BSS138","Top","693","2740","0.00"
"JP2","BTE-040-01-F-D-A","Bottom","1593","1127","0.00"
"JP3","BTE-040-01-F-D-A","Bottom","1593","2702","0.00"
"C9","C0402_0.1u_16V","Top","2894","3090","0.00"
"C11","C0402_0.1u_16V","Top","2940","2690","0.00"
"C15","C0402_0.1u_16V","Top","2640","2380","270.00"
"C10","C0402_1n_50V","Top","2944","3090","0.00"
"C12","C0402_1n_50V","Top","2985","2690","0.00"
"C22","C0402_1n_50V","Bottom","1665","1760","90.00"
"C23","C0402_1n_50V","Bottom","1774","2335","0.00"
"C25","C0402_1n_50V","Bottom","1775","2414","0.00"
"C28","C0402_1n_50V","Bottom","1860","1715","180.00"
"C3","C0402_1u_16V","Top","2730","3180","90.00"
"C6","C0402_1u_16V","Top","2625","2710","270.00"
"C21","C0402_1u_16V","Bottom","1665","1720","90.00"
"C24","C0402_1u_16V","Bottom","1810","2335","0.00"
"C26","C0402_1u_16V","Bottom","1734","2414","0.00"
"C27","C0402_1u_16V","Bottom","1883","1765","270.00"
"C4","C0402_2.2u_4V","Top","2989","3090","0.00"
"C7","C0402_2.2u_4V","Top","2895","2690","0.00"
"C5","C0402_10n_25V","Top","2819","2960","0.00"
"C8","C0402_10n_25V","Top","2825","2560","0.00"
"C14","C0402_10n_25V","Top","2640","2335","270.00"
"C13","C0805_22u_6.3V","Top","2635","2455","90.00"
"U2","CAT6219_3V3","Top","2761","3073","0.00"
"U3","CAT6219_3V3","Top","2766","2673","0.00"
"LED_1","CONN2_THROUGH_RIGHT_2MM","Bottom","-23","1075","270.00"
"LED_2","CONN2_THROUGH_RIGHT_2MM","Bottom","-23","675","270.00"
"TRIG","CONN2_THROUGH_RIGHT_2MM","Bottom","-23","275","270.00"
"DS93","DS92LV1212A","Bottom","1777","2032","270.00"
"FERR","FERR","Top","2970","2560","90.00"
"U11","HDMI","Bottom","126","2310","270.00"
"JP6","JP1","Top","2525","3180","0.00"
"JP7","JP2","Top","1750","610","0.00"
"JP8","JP2","Top","1365","610","0.00"
"JP4","JP3","Top","1220","3195","90.00"
"JP9","JP3","Top","1400","3520","90.00"
"JP10","JP3","Top","1400","3620","90.00"
"JP5","JP4","Top","1725","3195","90.00"
"JP1","JP8","Top","3025","1765","0.00"
"LED3","LED_BLUE_0402","Top","774","2224","270.00"
"LED4","LED_BLUE_0402","Top","774","2028","270.00"
"LED2","LED_GREEN_0402","Top","774","2420","270.00"
"LED5","LED_ORANGE_0402","Top","774","1832","270.00"
"LED6","LED_ORANGE_0402","Top","774","1636","270.00"
"U7","LED_PIPE_VLP1-F1","Top","774","2407","270.00"
"U8","LED_PIPE_VLP1-F1","Top","774","2211","270.00"
"U9","LED_PIPE_VLP1-F1","Top","774","2015","270.00"
"U10","LED_PIPE_VLP1-F1","Top","774","1819","270.00"
"U13","LED_PIPE_VLP1-F1","Top","774","1623","270.00"
"U16","LED_PIPE_VLP1-F1","Top","774","1427","270.00"
"LED7","LED_RED_0402","Top","774","1440","270.00"
"IC1","LT3092ETS8TRMPBF","Top","510","1010","180.00"
"IC2","LT3092ETS8TRMPBF","Top","540","600","180.00"
"IC3","LTC1663-1CS5#TRMPBF","Top","515","1190","0.00"
"IC4","LTC1663-2CS5#TRMPBF","Top","540","760","0.00"
"Q1","NTK3134NT1G","Top","690","1243","0.00"
"Q2","NTK3134NT1G","Top","735","803","0.00"
"U12","OMNETICS_PNZ_12_AA_SMT","Bottom","46","1809","180.00"
"R11","R0201_0_1/20","Top","2060","1600","180.00"
"R8","R0603_5.1_1/4","Top","715","1075","180.00"
"R9","R0603_5.1_1/4","Top","760","665","180.00"
"R5","R0603_10k_1/10","Top","1880","1380","270.00"
"R7","R0603_10k_1/10","Bottom","1830","1550","270.00"
"R14","R0603_10k_1/10","Top","750","2900","270.00"
"R15","R0603_10k_1/10","Top","750","3450","270.00"
"R1","R0603_220_1/10","Top","1015","2410","90.00"
"R2","R0603_220_1/10","Top","1025","2015","90.00"
"R3","R0603_220_1/10","Top","1020","2210","90.00"
"R4","R0603_220_1/10","Top","1030","1820","90.00"
"R16","R0603_220_1/10","Top","1030","1620","90.00"
"R18","R0603_220_1/10","Top","1030","1425","90.00"
"R6","R0603_1470k_1/10","Top","320","205","180.00"
"J1","SMA_RIGHT_ANGLE","Bottom","13","2900","0.00"
"J2","SMA_RIGHT_ANGLE","Bottom","13","3450","0.00"
