"Report Written:","Tuesday, August 13, 2019"
"Project Path:","C:\Giovanni\neuralmapper\PCB\NM-CAM9V022I2C\Rev1\NM-CAM9V022I2C.prj"
"Design Path:","C:\Giovanni\neuralmapper\PCB\NM-CAM9V022I2C\Rev1\NM-CAM9V022I2C.pcb"
"Design Title:",
"Created:","11/29/2018 11:36:19 AM"
"Last Saved:","8/13/2019 11:35:51 AM"
"Editing Time:","9054 min"
"Units:","mil (precision 0)"


"Ref Name","Qty","Component","Value","Side","Manufacturer","Manufacturer part number","Distributor","Distributor part number","Description","Price"
"IC5","1","1DDD388A-P02","","Top","Rogers Corp","1DDD388AA-P02","Amazon","1DDD388AA-P02","Liquid lens driver","1.12"
"U2","1","3-PAD_2LEDS","","Top","","","","","3-PAD_LEDs","0.00"
"U3","1","4-PAD_LL","","Top","","","","","4-PAD","0.00"
"C19","1","C0201_1u_6.3V","1u","Top","Samsung","CL03A105KQ3CSNC","Digikey","1276-1323-1-ND","CAP CER 1UF 6.3V X5R 0201","0.36"
"C1","1","C0201_4.7u_6.3V","4.7u","Bottom","Murata","GRM035R60J475ME15D","Digikey","490-13230-6-ND","4.7µF ±20% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)","0.54"
"C15","1","C0201_4.7u_6.3V","4.7u","Bottom","Murata","GRM035R60J475ME15D","Digikey","490-13230-6-ND","4.7µF ±20% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)","0.54"
"C29","1","C0201_4.7u_6.3V","4.7u","Bottom","Murata","GRM035R60J475ME15D","Digikey","490-13230-6-ND","4.7µF ±20% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)","0.54"
"C22","1","C0402_10u_6.3V","10u","Top","Murata","GRM155C80J106ME11D","Digikey","490-13233-1-ND","CAP CER 10UF 6.3V X6S 0402","0.17"
"C25","1","C0402_10u_6.3V","10u","Bottom","Murata","GRM155C80J106ME11D","Digikey","490-13233-1-ND","CAP CER 10UF 6.3V X6S 0402","0.17"
"C10","1","C0402_270P_25V","270P","Top","Yageo","CC0402JRNP08BN271","Digikey","311-3749-1-ND","CAP CER 270PF 25V NP0 0402","0.10"
"C17","1","C0603_22u_6.3V","22u","Top","Samsung","CL10A226KQ8NRNE","Digikey","1276-2867-1-ND","CAP CER 22UF 6.3V X5R 0603","0.33"
"C8","1","C01005_0.1u_6.3V","0.1u","Top","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C9","1","C01005_0.1u_6.3V","0.1u","Top","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C11","1","C01005_0.1u_6.3V","0.1u","Top","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C12","1","C01005_0.1u_6.3V","0.1u","Top","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C3","1","C01005_0.1u_6.3V","0.1u","Bottom","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C4","1","C01005_0.1u_6.3V","0.1u","Bottom","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C5","1","C01005_0.1u_6.3V","0.1u","Bottom","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
